212F30	3007
21593E	8B4E
21593F	8B49
215940	8B5A
215941	8B41
215942	8B4F
215943	8B70
215944	8B6C
215945	8B66
215946	8B6F
215947	8B74
215948	8B77
215949	8B7D
21594A	8B80
21594B	8B8A
21594C	8B93
21594D	8B96
21594E	8B92
21594F	8B9A
215951	8C41
215952	8C3F
215953	8C46
215954	8C48
215955	8C49
215956	8C4C
215957	8C4E
215958	8C50
215959	8C54
21595A	8C5A
21595C	8C62
21595D	8C6A
21595E	8C6B
21595F	8C6C
215960	8C7A
215961	8C79
215962	8C82
215963	8C8A
215964	8C89
215965	8C8D
215966	8C8C
215967	8C93
215968	8C9D
215969	8C9E
21596A	8CA0
21596B	8CA2
21596C	8CA1
21596D	8CAC
21596E	8CAB
21596F	8CA8
215970	8CAA
215971	8CA7
215972	8CA9
215973	8CAF
215975	8CBB
215976	8CC1
215977	8CC0
215978	8CB4
215979	8CBC
21597A	8CB7
21597B	8CB6
21597C	8CBD
21597D	8CB8
21597E	8CBF
215A21	8CC5
215A22	8CC7
215A23	8CCA
215A24	8CC8
215A25	8CC4
215A26	8CB2
215A27	8CC3
215A28	8CC2
215A29	8CD3
215A2A	8CD1
215A2B	8CD2
215A2C	8CE0
215A2D	8CE6
215A2F	8CE3
215A30	8CE2
215A31	8CE4
215A32	8CDE
215A33	8CDC
215A34	8CEA
215A35	8CED
215A36	8CF4
215A37	8CFD
215A38	8CFA
215A39	8D05
215A3A	8CFC
215A3B	8D08
215A3C	8D0B
215A3D	8D0A
215A3E	8D0F
215A3F	8D0D
215A40	8D13
215A41	8D16
215A42	8D1B
215A43	8D64
215A44	8D67
215A45	8D66
215A46	8D6B
215A47	8D6D
215A48	8D70
215A49	8D74
215A4A	8D73
215A4B	8D77
215A4C	8D85
215A4D	8D8A
215A4E	8D81
215A4F	8D99
215A50	8D95
215A51	8DA3
215A52	8D9F
215A53	8DA8
215A54	8DB3
215A55	8DB4
215A56	8DBE
215A57	8DCE
215A58	8DDD
215A59	8DDB
215A5A	8DCB
215A5B	8DDA
215A5C	8DC6
215A5D	8DD1
215A5E	8DCC
215A5F	8DE1
215A60	8DDF
215A61	8DE8
215A62	8DF3
215A63	8DFA
215A64	8DEA
215A65	8DEF
215A66	8DFC
215A67	8E2B
215A68	8E10
215A69	8E22
215A6A	8E1D
215A6B	8E0F
215A6C	8E29
215A6D	8E1F
215A6E	8E44
215A6F	8E31
215A70	8E42
215A71	8E34
215A72	8E39
215A73	8E35
215A74	8E49
215A75	8E4B
215A76	8E48
215A77	8E4A
215A78	8E63
215A79	8E59
215A7A	8E66
215A7B	8E64
215A7C	8E72
215A7D	8E6C
215A7E	8E7A
215B21	8E76
215B22	8E7C
215B23	8E82
215B24	8E81
215B25	8E87
215B26	8E89
215B27	8E85
215B28	8E8A
215B29	8E8D
215B2A	8E91
215B2B	8EA1
215B2C	8EAA
215B2D	8EAB
215B2E	8EAC
215B2F	8EB2
215B30	8EBA
215B31	8EC0
215B32	8ECA
215B33	8ECB
215B34	8ECD
215B35	8ECC
215B36	8ED2
215B37	8ED4
215B38	8EDF
215B39	8EDB
215B3A	8EFB
215B3B	8EF8
215B3C	8EFC
215B3D	8F03
215B3E	8EFE
215B3F	8F09
215B40	8F0A
215B41	8F14
215B42	8F12
215B43	8F15
215B44	8F13
215B45	8F26
215B46	8F1B
215B47	8F1F
215B48	8F1D
215B49	8F29
215B4A	8F2A
215B4B	8F1C
215B4C	8F3B
215B4D	8F2F
215B4E	8F38
215B4F	8F44
215B50	8F3E
215B51	8F45
215B52	8F42
215B53	8F3F
215B54	8F4D
215B55	8F49
215B56	8F54
215B57	8F4E
215B58	8F5F
215B59	8F61
215B5A	8F9B
215B5B	8F9C
215B5C	8F9F
215B5D	8FA3
215B5E	8FA8
215B5F	8FA6
215B60	8FAD
215B61	8FAF
215B62	8FB0
215B63	8FB1
215B64	8FB2
215B66	8FC6
215B67	8FC5
215B68	8FC4
215B69	5DE1
215B6A	8FCE
215B6B	8FD1
215B6C	8FD4
215B6D	8FF0
215B6E	8FE6
215B6F	8FE2
215B70	8FEA
215B71	8FE5
215B73	8FEB
215B74	9001
215B75	9006
215B76	8FF7
215B77	9000
215B7A	9003
215B7B	8FFD
215B7C	9005
215B7D	9019
215B7E	9023
215C21	901F
215C22	9017
215C23	901D
215C24	9010
215C26	900D
215C27	901E
215C28	901A
215C29	9020
215C2A	900F
215C2B	9022
215C2C	9016
215C2D	901B
215C2E	9014
215C2F	902E
215C30	9035
215C31	9031
215C32	9038
215C33	9032
215C34	904B
215C36	9053
215C37	9042
215C38	9050
215C39	9054
215C3A	9055
215C3B	903C
215C3C	9047
215C3D	904F
215C3E	904E
215C3F	904D
215C40	9051
215C41	9041
215C42	903E
215C43	9058
215C44	9060
215C45	905C
215C46	9063
215C47	9065
215C48	905E
215C49	9069
215C4A	906E
215C4B	9068
215C4C	906D
215C4D	9075
215C4E	9074
215C4F	9078
215C50	9072
215C51	9077
215C52	907C
215C53	907A
215C54	907F
215C55	907D
215C56	9081
215C57	9084
215C58	9082
215C59	9080
215C5A	9087
215C5B	908A
215C5C	9090
215C5D	908F
215C5E	9091
215C5F	9095
215C60	90A3
215C61	90A2
215C62	90AA
215C63	90A6
215C64	90B5
215C65	90B1
215C66	90B8
215C67	90CE
215C68	90CA
215C6A	90E1
215C6B	90E8
215C6C	90ED
215C6D	90F5
215C6E	90FD
215C6F	9102
215C70	9109
215C71	9112
215C72	9119
215C73	912D
215C74	9130
215C75	9127
215C76	9131
215C77	9139
215C78	9149
215C79	914B
215C7A	914A
215C7B	9152
215C7C	914D
215C7D	914C
215C7E	9157
215D21	9163
215D22	9165
215D23	916C
215D24	9169
215D25	916A
215D26	9175
215D27	9178
215D28	9177
215D29	9187
215D2A	9189
215D2B	918B
215D2C	9183
215D2D	9192
215D2E	91A3
215D2F	919E
215D30	919C
215D31	91AB
215D32	91AC
215D33	91BA
215D34	91C0
215D35	91C1
215D36	91C7
215D37	91C9
215D38	91CB
215D3A	91CD
215D3B	91CE
215D3C	91CF
215D3D	91D0
215D3E	91D1
215D3F	91DD
215D40	91D8
215D41	91D7
215D42	91DC
215D43	91F5
215D44	91E6
215D45	91E3
215D46	91E7
215D47	9223
215D48	920D
215D49	9215
215D4A	9209
215D4B	9214
215D4C	921E
215D4D	9210
215D4F	9237
215D50	9238
215D51	923D
215D52	923E
215D53	9240
215D54	924B
215D55	925B
215D56	9264
215D57	9251
215D58	9234
215D59	9278
215D5A	9280
215D5B	92AC
215D5C	9285
215D5D	9298
215D5E	9296
215D5F	927B
215D60	9293
215D61	929C
215D62	92C5
215D63	92BB
215D64	92B3
215D65	92EA
215D66	92B7
215D67	92C1
215D68	92E4
215D69	92BC
215D6A	92D2
215D6B	9320
215D6C	9336
215D6D	92F8
215D6E	9333
215D6F	932F
215D70	9322
215D71	92FC
215D72	932B
215D73	931A
215D74	9304
215D75	9310
215D76	9326
215D77	934D
215D78	9382
215D79	9375
215D7A	9365
215D7C	934B
215D7D	9328
215D7E	9370
215E21	937E
215E22	9318
215E23	936C
215E24	935B
215E25	938A
215E26	9394
215E27	93AE
215E28	9396
215E29	93A2
215E2A	93B3
215E2B	93E1
215E2C	93D1
215E2D	93D6
215E2E	93C3
215E2F	93DF
215E30	93D7
215E31	93C8
215E32	93E2
215E33	93DC
215E34	93E4
215E35	93DD
215E36	93CD
215E37	93D8
215E39	9403
215E3A	942E
215E3B	93FD
215E3C	9433
215E3D	9435
215E3E	943A
215E3F	9438
215E40	9432
215E42	9451
215E43	9444
215E44	9463
215E45	9460
215E46	9472
215E47	9470
215E48	947E
215E49	947C
215E4A	947D
215E4B	947F
215E4C	9577
215E4D	9580
215E4E	9582
215E4F	9583
215E50	9589
215E51	9594
215E52	958F
215E53	958B
215E54	9591
215E55	9593
215E56	9592
215E57	9598
215E58	95A1
215E59	95A8
215E5A	95A9
215E5B	95A3
215E5C	95A5
215E5D	95A4
215E5E	95B1
215E5F	95AD
215E60	95BB
215E61	95CA
215E62	95CB
215E63	95CC
215E64	95C8
215E65	95C6
215E67	95D6
215E68	95D0
215E69	95DC
215E6A	95E1
215E6B	95E2
215E6C	961C
215E6D	9621
215E6E	9632
215E6F	9631
215E70	962E
215E71	962A
215E72	9640
215E73	963F
215E74	963B
215E75	9644
215E76	9650
215E77	964C
215E78	964B
215E79	964D
215E7A	9662
215E7B	9663
215E7C	965B
215E7D	9661
215E7E	965D
215F21	9664
215F22	966A
215F23	9673
215F24	9678
215F25	9675
215F26	9672
215F27	9676
215F28	9677
215F29	9674
215F2A	9670
215F2B	968A
215F2C	968E
215F2D	968B
215F2E	967D
215F2F	9685
215F30	9686
215F31	968D
215F32	9698
215F33	9694
215F34	9699
215F35	9695
215F36	969C
215F37	969B
215F38	96A7
215F39	96A8
215F3A	96AA
215F3B	96B1
215F3C	96B4
215F3D	96B8
215F3E	96BB
215F3F	96C0
215F40	96C7
215F41	96C6
215F42	96C4
215F43	96C1
215F44	96C5
215F45	96CD
215F46	96CB
215F47	96C9
215F48	96CC
215F49	96D5
215F4A	96D6
215F4B	96DC
215F4C	96DE
215F4D	96DB
215F4E	96D9
215F4F	96E2
215F50	96E3
215F51	96E8
215F52	96EA
215F53	96EF
215F54	96F2
215F55	96FB
215F56	96F7
215F57	96F9
215F58	96F6
215F59	9700
215F5A	9707
215F5B	9704
215F5C	9709
215F5D	9706
215F5E	9711
215F5F	970E
215F60	9716
215F61	970F
215F62	970D
215F63	9713
215F64	971C
215F65	971E
215F66	972A
215F67	9727
215F68	9738
215F69	9739
215F6A	9732
215F6B	973D
215F6C	973E
215F6D	9744
215F6E	9742
215F6F	9748
215F70	9751
215F71	9756
215F72	975B
215F73	975C
215F74	975E
215F75	9760
215F76	9761
215F78	9766
215F79	9768
215F7A	9769
215F7B	9776
215F7C	9774
215F7D	977C
215F7E	9785
216021	978D
216022	978B
216023	978F
216024	9798
216025	97A0
216026	97A3
216027	97A6
216028	97AD
216029	97C3
21602A	97C1
21602B	97C6
21602C	97CB
21602D	97CC
21602E	97D3
21602F	97DC
216030	97ED
216031	97F3
216032	7AE0
216033	7ADF
216034	97F6
216035	97FB
216036	97FF
216037	9801
216038	9802
216039	9803
21603A	9805
21603B	9806
21603C	9808
21603D	9810
21603E	980A
21603F	9811
216040	9813
216041	9812
216042	980C
216043	9817
216044	9818
216045	9821
216046	982D
216047	9830
216048	9838
216049	983B
21604A	9839
21604B	9837
21604C	9824
21604D	9846
21604E	9854
21604F	984D
216050	984C
216051	984E
216052	9853
216053	985E
216054	985A
216055	9858
216056	9867
216057	986B
216058	986F
216059	9871
21605A	9870
21605B	98A8
21605C	98AF
21605D	98B1
21605E	98B3
21605F	98B6
216060	98BA
216061	98BC
216062	98C4
216063	98DB
216064	98DF
216065	98E2
216066	98E7
216067	98E9
216068	98ED
216069	98EA
21606A	98EE
21606B	98EF
21606C	98FC
21606D	98F4
21606E	98FD
21606F	98FE
216070	9903
216071	990A
216072	990C
216073	9909
216074	9910
216075	9912
216076	9918
216077	9913
216078	9905
216079	9928
21607A	991E
21607B	991B
21607C	9921
21607D	9935
21607E	993E
216121	993F
216122	993D
216123	9945
216124	9952
216125	9951
216126	995C
216127	995E
216128	9996
216129	9999
21612A	99A5
21612B	99A8
21612C	99AC
21612D	99AE
21612E	99AD
21612F	99B3
216130	99B1
216131	99B4
216132	99C1
216133	99D0
216134	99DD
216135	99D5
216136	99DF
216137	99DB
216138	99D2
216139	99D9
21613A	99D1
21613B	99ED
21613C	99F1
21613D	9A01
21613E	99FF
21613F	99E2
216140	9A0E
216141	9A19
216142	9A16
216143	9A2B
216144	9A30
216145	9A37
216146	9A43
216147	9A45
216148	9A40
216149	9A3E
21614A	9A55
21614B	9A5A
21614C	9A5B
21614D	9A57
21614E	9A5F
21614F	9A62
216150	9A65
216151	9A6A
216152	9AA8
216153	9AAF
216154	9AB0
216155	9AB7
216156	9AB8
216157	9ABC
216158	9ACF
216159	9AD3
21615A	9AD4
21615B	9AD2
21615C	9AD8
21615D	9AE5
21615F	9AEE
216160	9AFB
216161	9AED
216162	9B03
216163	9B06
216164	9B0D
216165	9B1A
216166	9B22
216167	9B25
216168	9B27
21616A	9B31
21616B	9B32
21616C	9B3C
21616D	9B41
21616E	9B42
21616F	9B45
216170	9B44
216171	9B4F
216172	9B54
216173	9B58
216174	9B5A
216175	9B77
216176	9B6F
216177	9B91
216178	9BAB
216179	9BAE
21617A	9BAA
21617B	9BCA
21617C	9BC9
21617D	9BE8
21617E	9BE7
216221	9C13
216222	9C0D
216223	9BFD
216224	9C2D
216225	9C25
216226	9C31
216227	9C3E
216228	9C3B
216229	9C54
21622A	9C57
21622B	9C56
21622C	9C49
21622D	9C77
21622E	9C78
21622F	9CE5
216230	9CE9
216231	9CF6
216232	9CF4
216233	9CF3
216234	9D06
216235	9D09
216236	9D15
216237	9D23
216238	9D28
216239	9D26
21623A	9D1B
21623B	9D12
21623C	9D3B
21623D	9D3F
21623E	9D61
21623F	9D51
216240	9D60
216241	9D5D
216242	9D89
216243	9D72
216244	9D6A
216245	9D6C
216246	9DB4
216247	9DAF
216248	9DC2
216249	9DD3
21624A	9DD7
21624B	9DE5
21624C	9DF9
21624D	9DFA
21624E	9E1A
21624F	9E1E
216250	9E79
216251	9E7D
216252	9E7C
216253	9E7F
216254	9E82
216255	9E8B
216256	9E97
216257	9E92
216258	9E93
216259	9E9D
21625A	9E9F
21625B	9EA5
21625C	9EA9
21625D	9EB4
21625E	9EB5
21625F	9EBB
216260	9EBC
216261	9EBE
216262	9EC3
216263	9ECD
216264	9ECE
216265	9ECF
216266	9ED1
216267	58A8
216268	9ED8
216269	9ED4
21626A	9EDE
21626B	9EDC
21626C	9EDB
21626D	9EDD
21626E	9EE0
21626F	9EE8
216270	9EEF
216271	9EF4
216272	9EF7
216273	9F07
216274	9F0E
216275	9F13
216276	9F15
216277	9F19
216278	9F20
216279	9F2C
21627A	9F34
21627B	9F3B
21627C	9F3E
21627D	9F4A
21627E	9F4B
216321	9F52
216322	9F5F
216323	9F63
216324	9F61
216325	9F66
216326	9F5C
216327	9F6C
216328	9F6A
216329	9F77
21632A	9F72
21632B	9F8D
21632C	9F94
21632D	9F9C
216330	8288
216424	4E0F
216425	5187
216429	4E28
21642E	4E31
216431	4E36
216433	4E3F
216434	4E42
216437	738D
21643C	4E5C
21643F	6C39
216446	4E85
216450	4EA0
216451	4EA2
216452	4EB3
216455	4EB6
216458	4EB9
21645A	4EBC
21645E	4EC9
216461	4EC8
216462	4ECE
216463	4EE8
21646B	4EE1
216472	4F08
216473	4F0E
216475	4F03
21647C	4F22
216527	4EF5
216528	4F07
21652A	4F00
21652C	4F0B
216532	4F3B
216536	4F58
216537	4F62
216539	4F64
21653A	4F49
21653F	4F3E
216540	4F66
216544	4F67
21654D	4F68
21654E	4F5A
21654F	4F5F
216556	4F82
216557	4F7C
21655A	4F98
21655B	4F92
21655C	4F7D
216560	4F80
216561	4F74
216562	4F76
216564	4FA2
216566	4F91
216567	4F95
21656C	4F4C
21656D	4F97
21656E	4F94
216570	4F79
216571	4F9A
216572	4F81
216573	4F78
216576	4F9C
216577	4F90
21657B	4F7A
21657C	4FCD
216622	4FE4
216626	4FB7
216627	4FC5
216629	4FC9
21662A	4FE5
21662C	4FE7
216633	4FDC
216635	4FD4
216637	4FC1
21663B	4FDB
21663E	4FC6
216643	4FB9
216646	501E
216648	503F
216649	5005
21664C	5007
21664D	5013
21664E	5022
216652	4FF5
216659	4FF4
21665B	5037
21665E	502E
216661	4FF6
216662	501C
216666	502C
216669	5010
216679	503D
216722	506F
216723	5050
216725	5070
216729	5053
21672A	506A
21672C	5056
216731	506D
216738	505D
216739	5048
21673B	5058
21673C	5072
216741	5041
216746	5015
216748	507A
21674A	506C
21674B	505F
21674D	506B
21674E	5094
216750	509E
216752	509B
216753	509A
216757	50A3
21675A	508C
21675C	5088
216762	508E
216764	5095
216767	50A6
21676A	5092
21676C	509C
216771	50C7
216775	50C9
21677B	50CA
21677C	50B4
216822	50C2
21682C	50BA
21682E	50CD
216832	50D4
216834	50EF
216835	50E6
21683A	50F4
21683B	50CE
21683C	50DD
216841	50F3
216842	50E8
216844	50F0
216846	50D9
216855	50EC
21685B	510E
21685F	5105
216861	50FC
216865	5106
216866	5107
216867	510F
216868	50FE
216869	510B
21686A	50FD
21686D	5101
216871	5115
216872	5113
216878	511A
216879	9797
21687E	5126
216929	5124
21692B	5129
216930	5131
21693E	5135
216940	5133
216944	513A
216947	5139
216948	513B
216951	5159
216952	515B
216955	515D
216956	515E
216958	515F
216959	5161
21695C	5163
216967	5182
216969	5184
21696E	518F
216970	5194
216971	5193
216975	5196
21697B	51A1
21697C	51A3
216A22	51AA
216A23	51AB
216A26	51B1
216A35	51BC
216A43	51CA
216A46	51C7
216A4E	51D1
216A4F	51D0
216A54	51D3
216A63	51D9
216A66	51DF
216A68	51E2
216A73	5160
216A78	51F5
216A79	51F7
216B24	5213
216B26	5216
216B2A	521C
216B33	5231
216B36	5235
216B37	5232
216B39	5233
216B3E	5244
216B43	5249
216B47	5260
216B4B	525A
216B4C	5252
216B4D	525E
216B50	525F
216B53	5255
216B5B	526E
216B5E	5268
216B5F	7B9A
216B6B	5278
216B74	5282
216B75	5281
216B79	528C
216B7A	528A
216B7C	5290
216C21	5293
216C27	5296
216C29	5298
216C2B	529A
216C2C	5299
216C2E	52A6
216C31	52AD
216C33	52AE
216C37	52BB
216C38	52BC
216C3C	52CA
216C3D	52CD
216C40	52D0
216C41	52D1
216C46	52D4
216C48	52D6
216C4C	52E3
216C4E	52E1
216C50	55E7
216C53	52E9
216C58	52F0
216C5A	52F1
216C5E	52F7
216C61	52F9
216C62	52FA
216C64	52FC
216C69	5307
216C6A	5303
216C6B	5306
216C6E	530A
216C6F	530B
216C77	5311
216C7B	6706
216D23	531A
216D24	531C
216D25	531F
216D2E	532D
216D33	5330
216D36	5335
216D3A	5338
216D3E	533D
216D41	534C
216D42	534D
216D4B	535D
216D4C	5363
216D4E	5365
216D53	536C
216D57	5372
216D58	537A
216D5D	5380
216D64	538E
216D66	5393
216D67	5394
216D6D	5399
216D74	8652
216D7A	53A4
216D7B	53AB
216E2C	53B5
216E2E	53B9
216E3E	53D0
216E48	53DA
216E57	53FB
216E58	535F
216E61	5414
216E68	5406
216E6C	544C
216E6D	5445
216E6F	541A
216E70	5432
216E76	5421
216E78	5430
216E79	5454
216E7D	543D
216F21	544F
216F24	542A
216F26	5422
216F27	5423
216F2E	545F
216F2F	549C
216F35	5488
216F37	547F
216F39	5482
216F3A	546D
216F3B	5491
216F42	5494
216F43	546B
216F49	548D
216F4A	5463
216F4B	5474
216F52	5466
216F53	5464
216F55	54A4
216F58	54A1
216F5A	54AD
216F5B	54BA
216F5C	54CF
216F5E	54BE
216F60	54A5
216F63	54A7
216F64	54B5
216F66	54A2
216F67	5472
216F68	5470
216F69	54BC
216F6A	54B7
216F6B	54DE
216F6C	54D6
216F6D	54AE
216F71	54BF
216F74	54C6
216F7B	551A
216F7C	54E2
216F7D	5507
217023	5517
217024	54FD
217025	54E7
217027	54F3
21702A	54E4
21702B	550A
21702D	54FF
21702E	5518
217030	5504
217032	54EF
217034	5508
217038	54F6
217039	54F7
21703E	550E
217044	5523
217046	550F
217047	5511
21704B	5575
21704D	5573
21704E	554C
21704F	5576
217050	554D
217051	555A
217053	553C
217055	5550
217057	5539
217058	5548
217059	552D
21705A	5551
21705D	552A
217060	5562
217061	5536
217064	5549
217068	5530
21706A	5540
21706B	5535
217070	5545
217079	553F
21707B	5541
21707D	5565
217123	5591
217125	5577
217126	55A8
217127	55AD
21712A	5605
21712D	5593
21712F	5586
217134	5588
217136	55B4
217143	55E2
217144	5581
217145	558E
217147	55B5
217149	558F
21714B	5559
217150	55A4
217151	5592
217152	5599
217156	55F4
217158	55CC
217159	55D0
21715A	55DB
21715B	55CD
21715C	55DE
21715D	55D9
21715E	55C3
21715F	55C9
217161	55CA
217162	55DD
217164	55D4
217165	55C4
217169	55E9
21716F	55CF
217170	55D2
217175	55E5
217177	55D6
217178	55C1
217179	55F2
21717E	5627
217224	55FB
217225	5612
217227	55F8
217228	560F
21722B	55F9
21722E	561E
217231	560C
217234	561C
217235	5610
217236	5601
217238	5613
217239	55F6
21723C	5602
217242	561D
217244	55FF
217247	5642
217248	564C
21724B	564B
217252	5640
217255	5635
217257	5649
217258	5641
21725C	5658
21725D	5620
21725E	5654
217260	562A
217261	563D
217264	562C
217267	5638
217269	564D
21726B	562B
21726C	564F
21726E	5670
21726F	565F
217270	567C
217272	5660
217278	5676
21727A	5666
21727B	5673
21727C	566D
21727E	5672
217325	5693
217328	568C
217332	56BA
217334	5686
217335	5684
217336	5691
217337	568A
21733E	569E
217341	569C
217342	569A
217345	5699
21734B	56AD
21734C	56A6
21734E	56AC
217353	56B2
21735A	56B3
21735B	56C3
217360	56C5
217362	56CF
217367	56CD
21736A	56D4
21736B	56D7
21736D	56DD
21736F	56E1
217370	56DF
217375	56EB
217376	56EE
217377	56E7
217379	56FB
21737E	56F7
217421	56F9
217424	56FF
217427	5705
217428	5704
217429	5702
21742C	570A
21742D	5709
21742E	5707
217430	570C
217431	5715
217432	5714
217435	571A
217436	571B
217437	571C
217439	571D
21743A	571E
217441	5724
217442	572E
217443	5729
217448	5738
21744C	572A
217463	5749
217465	5745
217468	574B
217469	574C
21746A	573F
217470	5768
217475	578A
217477	576D
217479	5774
21747A	5767
217526	5770
217528	5771
21752A	576E
21752D	5776
21752E	5789
217530	577F
217531	5775
217532	577B
217533	5788
217535	5773
217538	579F
217539	5790
21753A	5793
21753F	579E
217540	57B5
217543	579A
217545	5794
217547	57A4
217548	5799
217549	578C
21754B	5797
21754E	579D
217552	579C
217554	57A7
217557	57A1
217559	212C4
21755B	5795
21755F	57B8
217560	57C7
21756A	5809
21756C	57BE
217571	57DB
217573	57D5
217577	57D2
21757E	57C6
217622	57C4
217627	70FE
217629	57E3
21762A	57FB
21762B	5803
21762C	57F6
21762D	57E6
217631	57ED
217633	5800
217635	57EC
217636	5807
217639	580E
21763B	580F
21763D	57F4
21763E	5810
217640	580D
217643	57EF
217648	5801
217649	5812
21764D	57FD
21764E	57F8
217650	580C
217651	5813
217652	57F0
217656	580B
217658	57F3
217659	5804
21765A	57CF
21765B	57DD
21765F	5847
217667	581B
217669	5819
21766A	5833
21766C	581E
21766D	583F
217671	5827
217676	5828
217678	582E
21767A	581D
21767D	5844
217721	5848
217723	5818
217726	57F5
217729	582D
21772B	5820
217730	584E
217733	585D
217735	5859
217737	584B
21773D	5865
217740	586C
217742	5852
217745	5864
217747	5853
217748	584F
217749	583D
21774D	584D
21774E	5856
217755	589A
217758	5892
21775A	588E
21775C	5889
21775F	5840
217760	589B
217761	587C
217763	5888
217765	5890
217768	5898
21776B	587D
21776F	587F
217770	5881
21777B	58A9
21777E	58A1
217824	58B1
21782B	58AD
21782E	58A0
217830	58A3
217832	58A6
21783A	58C8
217841	58BC
217849	58BF
21784B	58C6
21784C	58BA
217850	58D6
217854	58D2
217856	58CE
21785A	58E0
21785E	58DA
21786C	58FC
217870	5902
217873	5906
217874	6535
21787A	5910
21787C	8641
217928	592C
21792B	592F
217930	593C
217933	5940
217938	594D
217943	5953
21794B	595C
21794F	5961
217954	596C
217955	596D
217965	597C
217969	59A7
21796B	5998
21796F	599A
217971	59A0
21797C	5997
217A21	5990
217A24	59C5
217A25	59B5
217A28	59CF
217A2A	59BA
217A2C	59B8
217A35	59B2
217A3A	59B7
217A3E	59C1
217A43	59F9
217A44	59F8
217A4F	59EE
217A50	59F1
217A51	5A00
217A52	59DE
217A56	59FD
217A5D	59F6
217A5E	59DD
217A5F	59FA
217A61	59E4
217A6E	5A2A
217A75	5A16
217A78	5A09
217A7E	5A12
217B2C	5A60
217B31	5A67
217B3A	5A38
217B3B	5A5E
217B3C	5A6D
217B3D	5A35
217B3E	5A55
217B41	5A2C
217B48	5A50
217B49	5A65
217B52	5A64
217B65	5A8A
217B69	5ACF
217B6A	5A7A
217B71	5A9F
217B75	5AA0
217C21	5AA6
217C22	5A8C
217C24	5AA7
217C25	5A9E
217C26	5AA2
217C27	5A9C
217C28	5A7C
217C29	5A96
217C30	5A93
217C31	5AAC
217C34	5AAE
217C35	5A95
217C36	5AAF
217C39	5AC8
217C3E	5AB5
217C41	5AC4
217C45	5AB7
217C49	5AD1
217C4A	5A90
217C4F	5AB8
217C50	5ABA
217C52	5AAA
217C59	5AD3
217C5B	5AB1
217C60	5ADC
217C6D	5AE5
217C6E	5AE0
217C72	5AEA
217C7B	5ADA
217C7C	5AEB
217D26	5AFF
217D2A	5AFD
217D2B	5B08
217D2E	5B0D
217D38	5B03
217D3D	5B17
217D3E	5B16
217D40	5B19
217D47	5B1B
217D48	5B21
217D52	5B2C
217D59	5B32
217D63	5B3F
217D6E	5B45
217D74	5B4C
217D76	5B4B
217D7C	5B56
217E21	5B5B
217E23	5B62
217E24	5B65
217E25	5B67
217E27	5C58
217E28	5B6C
217E2A	5B6E
217E30	5B7B
217E31	5B7C
217E32	5B80
217E34	5B84
217E35	5B82
217E40	5B95
217E43	5B93
217E49	5BAC
217E52	5BA7
217E55	5BB7
217E59	5BC1
217E5B	3761
217E60	5BC9
217E68	5BD4
217E6A	5BC3
217E6E	5BD6
217E75	5BD7
217E79	5BE0
217E7E	5BEA
222224	5BF0
222225	5BEF
222233	5C00
222235	5C57
22223C	5C15
222246	5C22
222248	5C25
22224B	5C2A
222252	5C2F
22225B	5C32
222263	5C3B
222265	5C44
222267	5C49
222279	5C59
22227B	5C5D
22227C	5C5F
222323	5C63
222329	5C67
22232B	5C68
222330	5C6D
222331	5C6E
222337	5C74
222339	5C73
22233B	5C77
22233C	5C7A
222340	5C7C
222346	5C8F
222349	5C88
22234B	5C8D
22234D	5C99
222355	5CA6
222357	5CA0
22235C	5CA2
222360	5CB5
222361	5CA7
222366	5CA8
222367	5CAC
22236B	5CA3
22236C	5CB6
22236D	5CC1
22236F	5CAD
222370	5CD5
222378	5CD3
222379	5C8D
222426	5CE0
222428	5CD2
222429	5CDD
22242B	5CCB
222430	5CC7
222431	5CDC
222434	5D00
22243B	5CFF
22243C	5CEB
222441	5CF4
222446	5CF1
222449	5D1E
22244A	5D12
222450	5D1A
222452	5D0C
222453	5D20
222454	5D21
222457	5D27
222458	5D0D
22245A	5D26
22245D	5D2E
222469	5D24
222471	5D36
222472	5D3E
222474	5D4B
222476	5D57
222477	5D34
222525	5D3F
222526	5D52
222527	5D3D
222528	5D4E
22252C	5D59
22252D	5D47
22252F	5D32
222531	5D42
222534	5D74
222539	5D6F
22253A	5D6B
22253F	5D75
222544	5D4A
222549	5D6C
22254A	5D62
22254D	5D82
222550	5D79
222551	5D8E
22255A	5D81
222560	5D7E
222566	5D92
222568	5D99
222569	5D97
22256A	5DA2
222573	5DA1
222575	5D93
222577	5DA0
22257B	5D94
22257E	5DAC
222626	5DA7
22262A	5DB0
22262E	5DB4
22262F	5DAE
222630	5DB6
222632	5DB8
222634	5DBF
222636	5DB7
22263E	5DC3
222644	5DC7
222646	5DC9
222647	5DCB
22264E	5DD8
222650	5DDB
222652	5DDC
222656	5DE4
222662	5E00
222664	51E7
222672	5E14
222673	5E17
222676	5E19
222677	5E12
222678	5E1F
22267A	5E23
22267B	5E21
222722	5E22
222724	5E28
222735	5E44
222736	5E43
222739	5E42
22273F	5E4E
222747	5E58
222748	5E48
222757	5E5E
222758	5E61
22275D	5E68
22275F	5E6C
222760	5E6A
222763	5E6E
222764	5E6D
222765	5E70
22276D	5E75
222777	5E80
22277E	5E8B
22282F	5EA4
222835	5EA5
222836	5EAF
222842	5EB9
22284B	5EB3
22284C	5EC4
222851	5ECC
222855	5ECB
