212F30	3007
21374B	566F
21374C	5662
21374D	566C
21374E	5680
21374F	568E
213750	5685
213751	5687
213752	5690
213753	568F
213754	5695
213755	56AE
213756	56A8
213757	56B0
213758	56A5
213759	56B7
21375A	56B4
21375B	56B6
21375C	56C0
21375D	56C1
21375E	56C2
21375F	56BC
213760	56CA
213761	56C9
213762	56C8
213764	56D1
213765	56DB
213766	56DA
213767	56E0
213768	56DE
213769	56E4
21376B	56F1
21376C	56FA
21376D	5703
21376E	5708
21376F	570B
213770	570D
213771	5712
213772	5713
213773	5718
213774	5716
213775	571F
213777	572D
213778	572F
213779	5730
21377A	5728
21377B	5733
21377C	5751
21377D	574A
213821	5740
213822	5747
213823	574D
213824	573E
213825	574E
213827	5783
213828	576A
213829	5769
21382A	5777
21382B	5761
21382C	5764
21382D	5766
21382E	5782
21382F	577C
213830	57A0
213831	578B
213832	57A3
213833	57AE
213834	57A2
213835	57D4
213836	57C2
213837	57CE
213838	57CB
213839	57C3
21383A	57F9
21383B	57F7
21383C	57FA
21383D	57DF
21383E	580A
21383F	5805
213840	5802
213841	5806
213842	57E4
213843	57E0
213844	5831
213845	582F
213846	5835
213847	582A
213848	5830
213849	5824
21384A	5834
21384B	5821
21384C	585E
21384D	5857
21384E	5858
21384F	5851
213850	586B
213851	584C
213852	585A
213853	586D
213854	5854
213855	5862
213856	584A
213857	5883
213858	587E
213859	5875
21385A	588A
21385B	5879
21385C	5885
21385D	5893
21385E	589E
21385F	5880
213860	58B3
213861	589C
213862	58AE
213863	589F
213864	58C7
213865	58C5
213866	58C1
213867	58BE
213868	58D5
213869	58D3
21386A	58D1
21386B	58D9
21386C	58D8
21386D	58DF
21386E	58DE
21386F	58E2
213870	58E4
213871	58E9
213872	58EB
213873	58EC
213874	58EF
213876	58FA
213877	58FD
213878	590F
213879	5914
21387A	5915
21387B	5916
21387C	5919
21387D	591A
21387E	591C
213921	5920
213922	5924
213923	5925
213924	5922
213925	5927
213926	592A
213927	592B
213928	5929
213929	592D
21392A	592E
21392B	5931
21392C	5937
21392E	593E
21392F	5954
213930	5949
213931	5948
213932	5947
213933	5944
213934	5955
213935	5951
213936	594E
213937	594F
213938	5950
213939	5957
21393A	5958
21393B	595A
21393C	5960
21393D	5962
21393E	5967
21393F	5969
213940	596A
213941	596E
213942	5973
213943	5974
213944	5976
213945	5984
213946	5983
213947	5978
213948	597D
213949	5979
21394A	5982
21394B	5981
21394C	59A8
21394D	5992
21394F	59A4
213950	59A3
213951	5993
213952	599E
213953	599D
213954	5999
